al,am,at,au,az,be,bg,by,ch,cy,cz,de,dk,ee,es,fi,fr,gb,ge,gr,hr,hu,ie,il,is,it,lt,lv,md,mk,mt,nl,no,pl,pt,ro,rs,ru,se,si,sm,ua
1.0,0.6115261472785486,0.8751334044823906,0.7705442902881536,0.5368196371398078,0.9434364994663821,0.9327641408751334,0.4834578441835646,0.8452508004268944,0.8441835645677694,0.9207650273224044,0.9413020277481323,0.9626467449306296,0.9466382070437567,0.9381003201707577,0.9092849519743863,0.8527214514407684,0.8175026680896478,0.8377801494130203,0.9092849519743863,0.951974386339381,0.9135538954108858,0.8708644610458911,0.39701173959445035,0.9327641408751334,0.9477054429028815,0.9487726787620064,0.9423692636072573,0.880469583778015,0.9575971731448764,0.871931696905016,0.9370330843116329,0.9413020277481323,0.9477054429028815,0.9455709711846318,0.9455709711846318,0.7406616862326574,0.5400213447171825,0.8932764140875133,0.9466382070437567,0.8986125933831377,0.8591248665955176
0.6115261472785486,1.0,0.6264674493062967,0.4578441835645678,0.6734258271077909,0.608324439701174,0.5987193169690501,0.7491995731056563,0.6446104589114194,0.6424759871931697,0.5819672131147541,0.5827107790821772,0.5997865528281751,0.5923159018143009,0.6147278548559232,0.6456776947705443,0.5197438633938101,0.4994663820704376,0.6403415154749199,0.6328708644610459,0.5997865528281751,0.5538954108858057,0.6286019210245464,0.18569903948772679,0.6350053361792957,0.6093916755602988,0.583778014941302,0.5933831376734259,0.6275346851654215,0.5865724381625441,0.6339381003201707,0.6051227321237994,0.6275346851654215,0.5901814300960512,0.6189967982924226,0.6029882604055496,0.7374599786552828,0.6808964781216649,0.6456776947705443,0.6125933831376734,0.6371398078975453,0.6104589114194237
0.8751334044823906,0.6264674493062967,1.0,0.695837780149413,0.5976520811099253,0.880469583778015,0.8826040554962646,0.5325506937033084,0.9007470651013874,0.8964781216648879,0.8825136612021858,0.871931696905016,0.8826040554962646,0.8687299893276414,0.8783351120597652,0.8964781216648879,0.7950907150480256,0.7513340448239061,0.7886872998932765,0.8740661686232657,0.8676627534685165,0.8548559231590181,0.9498399146211313,0.35432230522945574,0.8729989327641409,0.87940234791889,0.871931696905016,0.8676627534685165,0.8932764140875133,0.8586572438162544,0.9413020277481323,0.8772678762006404,0.880469583778015,0.8623265741728922,0.8783351120597652,0.8633938100320171,0.7662753468516542,0.49626467449306294,0.9391675560298826,0.8922091782283885,0.9583778014941302,0.8132337246531484
0.7705442902881536,0.4578441835645678,0.695837780149413,1.0,0.4279615795090715,0.7502668089647813,0.743863393810032,0.36926360725720386,0.6659551760939167,0.6712913553895411,0.7786885245901639,0.7780149413020278,0.7694770544290288,0.7470651013874067,0.7427961579509071,0.7289220917822838,0.6840981856990395,0.687299893276414,0.6691568836712913,0.7150480256136607,0.7620064034151548,0.7694770544290288,0.6787620064034151,0.4887940234791889,0.7609391675560299,0.7502668089647813,0.7652081109925294,0.7449306296691569,0.6979722518676628,0.734982332155477,0.6937033084311632,0.7620064034151548,0.7556029882604055,0.7545357524012807,0.7417289220917823,0.7609391675560299,0.5538954108858057,0.37780149413020275,0.6990394877267876,0.7556029882604055,0.695837780149413,0.7001067235859125
0.5368196371398078,0.6734258271077909,0.5976520811099253,0.4279615795090715,1.0,0.5325506937033084,0.528281750266809,0.7566702241195304,0.5827107790821772,0.6061899679829242,0.5136612021857924,0.5229455709711847,0.5272145144076841,0.5250800426894343,0.5410885805763074,0.5474919957310566,0.464247598719317,0.45570971184631803,0.5208110992529349,0.5528281750266809,0.5261472785485592,0.5005336179295624,0.5976520811099253,0.1632870864461046,0.5570971184631803,0.5314834578441836,0.5176093916755603,0.5197438633938101,0.5709711846318036,0.5441696113074205,0.6350053361792957,0.5336179295624333,0.5485592315901814,0.512273212379936,0.5464247598719317,0.5133404482390609,0.6051227321237994,0.6275346851654215,0.5848452508004269,0.544290288153682,0.6040554962646745,0.5197438633938101
0.9434364994663821,0.608324439701174,0.880469583778015,0.7502668089647813,0.5325506937033084,1.0,0.9381003201707577,0.4823906083244397,0.8601921024546425,0.8420490928495198,0.9344262295081968,0.9541088580576307,0.9690501600853789,0.9391675560298826,0.9413020277481323,0.9167556029882604,0.871931696905016,0.8271077908217717,0.8217716115261473,0.9135538954108858,0.9316969050160085,0.9220917822838848,0.87940234791889,0.40768409818569906,0.9231590181430096,0.9487726787620064,0.9487726787620064,0.9306296691568837,0.8708644610458911,0.9399293286219081,0.8740661686232657,0.9637139807897546,0.9338313767342583,0.9445037353255069,0.9381003201707577,0.9295624332977588,0.7406616862326574,0.5410885805763074,0.9007470651013874,0.9551760939167556,0.8932764140875133,0.8324439701173959
0.9327641408751334,0.5987193169690501,0.8826040554962646,0.743863393810032,0.528281750266809,0.9381003201707577,1.0,0.4727854855923159,0.8548559231590181,0.83991462113127,0.8989071038251366,0.9348986125933831,0.9530416221985059,0.928495197438634,0.9316969050160085,0.9156883671291356,0.8345784418356457,0.8153681963713981,0.823906083244397,0.9188900747065102,0.935965848452508,0.9103521878335112,0.8633938100320171,0.3959445037353255,0.9220917822838848,0.9231590181430096,0.935965848452508,0.9306296691568837,0.8687299893276414,0.9575971731448764,0.8612593383137673,0.9381003201707577,0.935965848452508,0.9231590181430096,0.9370330843116329,0.9327641408751334,0.7353255069370331,0.528281750266809,0.8932764140875133,0.9477054429028815,0.8847385272145144,0.8495197438633938
0.4834578441835646,0.7491995731056563,0.5325506937033084,0.36926360725720386,0.7566702241195304,0.4823906083244397,0.4727854855923159,1.0,0.528281750266809,0.5464247598719317,0.48360655737704916,0.464247598719317,0.47171824973319104,0.48452508004268946,0.49413020277481323,0.5272145144076841,0.40981856990394877,0.4023479188900747,0.4951974386339381,0.5176093916755603,0.47705442902881534,0.439701173959445,0.5336179295624333,0.13874066168623267,0.5048025613660619,0.48025613660619,0.4599786552828175,0.4791889007470651,0.528281750266809,0.4911660777385159,0.5453575240128068,0.4834578441835646,0.4994663820704376,0.47171824973319104,0.48986125933831376,0.4855923159018143,0.6392742796157951,0.7235859124866596,0.5314834578441836,0.48665955176093917,0.5325506937033084,0.48986125933831376
0.8452508004268944,0.6446104589114194,0.9007470651013874,0.6659551760939167,0.5827107790821772,0.8601921024546425,0.8548559231590181,0.528281750266809,1.0,0.8783351120597652,0.8415300546448088,0.8367129135538954,0.8516542155816436,0.8388473852721452,0.8601921024546425,0.8858057630736392,0.7641408751334045,0.7267876200640342,0.791889007470651,0.8580576307363927,0.8377801494130203,0.8153681963713981,0.8858057630736392,0.3425827107790822,0.8623265741728922,0.8537886872998933,0.8367129135538954,0.8356456776947705,0.8623265741728922,0.8515901060070671,0.87940234791889,0.8505869797225186,0.8687299893276414,0.8313767342582711,0.8633938100320171,0.8356456776947705,0.7716115261472786,0.5112059765208111,0.9103521878335112,0.8612593383137673,0.9007470651013874,0.8121664887940235
0.8441835645677694,0.6424759871931697,0.8964781216648879,0.6712913553895411,0.6061899679829242,0.8420490928495198,0.83991462113127,0.5464247598719317,0.8783351120597652,1.0,0.8442622950819673,0.8249733191035219,0.8409818569903948,0.8452508004268944,0.8569903948772679,0.8772678762006404,0.7513340448239061,0.7203842049092849,0.7833511205976521,0.8900747065101388,0.8324439701173959,0.8057630736392742,0.8943436499466382,0.3617929562433298,0.871931696905016,0.8516542155816436,0.8292422625400213,0.8388473852721452,0.87940234791889,0.8515901060070671,0.9370330843116329,0.8356456776947705,0.8623265741728922,0.8356456776947705,0.8676627534685165,0.8505869797225186,0.7854855923159018,0.49626467449306294,0.8996798292422625,0.8591248665955176,0.9124866595517609,0.8014941302027748
